devicetype,device,direction,source,conversion
cp,cp3,imported,LP1,int
cp,cp3,exported,0,const
cp,cp4,imported,LP2,int
cp,cp4,exported,0,const
cp,all,imported,LPGesamt,int
cp,all,exported,0,const
ev,ev1,soc,0,const
ev,ev2,soc,SOCLP1,int
ev,ev3,soc,SOCLP2,int
counter,counter8,imported,Bezug,float
counter,counter8,exported,Einspeisung,float
counter,counter18,imported,SmartHomeDevice2,float
counter,counter18,exported,0,const
counter,counter11,imported,SmartHomeDevice3,float
counter,counter11,exported,0,const
counter,counter9,imported,SmartHomeDevice4,float
counter,counter9,exported,0,const
counter,counter10,imported,SmartHomeDevice5,float
counter,counter10,exported,0,const
counter,counter12,imported,SmartHomeDevice6,float
counter,counter12,exported,0,const
counter,counter13,imported,SmartHomeDevice7,float
counter,counter13,exported,0,const
counter,counter14,imported,SmartHomeDevice8,float
counter,counter14,exported,0,const
counter,counter15,imported,SmartHomeDevice9,float
counter,counter15,exported,0,const
pv,pv7,imported,0,const
pv,pv7,exported,PV,float
bat,bat0,imported,0,const
bat,bat0,exported,0,const
